title,Drama,Comedy,Horror,Film-Noir,Romance,Western,Adventure,Thriller,Fantasy,IMAX,Documentary,Children,Musical,Action,War,Mystery,Sci-Fi,Animation,Crime
Dunston Checks In (1996),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Black Sheep (1996),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick of Time (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Journey of August King, The (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mary Reilly (1996),1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Vampire in Brooklyn (1995),0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beautiful Girls (1996),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broken Arrow (1996),0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
In the Bleak Midwinter (1995),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hate (Haine, La) (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Shopping (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Heidi Fleiss: Hollywood Madam (1995),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
City Hall (1996),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bottle Rocket (1996),0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Mr. Wrong (1996),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unforgettable (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Happy Gilmore (1996),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bridges of Madison County, The (1995)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nobody Loves Me (Keiner liebt mich) (1994),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muppet Treasure Island (1996),0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Catwalk (1996),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Headless Body in Topless Bar (1995),1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Braveheart (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Taxi Driver (1976),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Rumble in the Bronx (Hont faan kui) (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Before and After (1996),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Margaret's Museum (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anne Frank Remembered (1995),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Young Poisoner's Handbook, The (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
If Lucy Fell (1996),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steal Big, Steal Little (1995)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Race the Sun (1996),1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Boys of St. Vincent, The (1992)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boomerang (1992),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chungking Express (Chung Hing sam lam) (1994),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Star Maker, The (Uomo delle stelle, L') (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flirting With Disaster (1996),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NeverEnding Story III, The (1994)",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"Silences of the Palace, The (Saimt el Qusur) (1994)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jupiter's Wife (1994),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pie in the Sky (1996),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angela (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankie Starlight (1995),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jade (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nueba Yol (1995),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonic Outlaws (1995),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Down Periscope (1996),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
From the Journals of Jean Seberg (1995),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Man of the Year (1995),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Neon Bible, The (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Target (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Up Close and Personal (1996),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Birdcage, The (1996)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shadows (Cienie) (1988),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gospa (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brothers McMullen, The (1995)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bad Boys (1995),1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"Amazing Panda Adventure, The (1995)",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Basketball Diaries, The (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Awfully Big Adventure, An (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amateur (1994),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Apollo 13 (1995),1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Rob Roy (1995),1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Addiction, The (1995)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batman Forever (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Beauty of the Day (Belle de jour) (1967),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beyond Rangoon (1995),1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Blue in the Face (1995),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canadian Bacon (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Casper (1995),0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Clockers (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Congo (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
Crimson Tide (1995),1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Crumb (1994),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Desperado (1995),0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Devil in a Blue Dress (1995),0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Die Hard: With a Vengeance (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"Doom Generation, The (1995)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Feast of July (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First Knight (1995),1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Free Willy 2: The Adventure Home (1995),1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Hackers (1995),0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
Jeffrey (1995),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnny Mnemonic (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Judge Dredd (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Jury Duty (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kids (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Living in Oblivion (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lord of Illusions (1995),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Love & Human Remains (1993),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mad Love (1995),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mallrats (1995),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mighty Morphin Power Rangers: The Movie (1995),0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Moonlight and Valentino (1995),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mute Witness (1994),0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nadja (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net, The (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Nine Months (1995),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Party Girl (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prophecy, The (1995)",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Reckless (1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Safe (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Scarlet Letter, The (1995)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Show, The (1995)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Showgirls (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smoke (1995),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Something to Talk About (1995),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species (1995),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Stars Fell on Henrietta, The (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strange Days (1995),1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Tie That Binds, The (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Three Wishes (1995),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Total Eclipse (1995),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Under Siege 2: Dark Territory (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Unstrung Heroes (1995),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unzipped (1995),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Walk in the Clouds, A (1995)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waterworld (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
White Man's Burden (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wild Bill (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Browning Version, The (1994)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushwhacked (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Burnt by the Sun (Utomlyonnye solntsem) (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before the Rain (Pred dozhdot) (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Before Sunrise (1995),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy Madison (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Babysitter, The (1995)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Boys on the Side (1995),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cure, The (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castle Freak (1995),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Circle of Friends (1995),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clerks (1994),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Juan DeMarco (1995),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disclosure (1994),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dream Man (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Drop Zone (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Destiny Turns on the Radio (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Death and the Maiden (1994),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dolores Claiborne (1995),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dumb & Dumber (Dumb and Dumber) (1994),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Eat Drink Man Woman (Yin shi nan nu) (1994),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exotica (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exit to Eden (1994),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ed Wood (1994),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Kiss (1995),0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Forget Paris (1995),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Far From Home: The Adventures of Yellow Dog (1995),0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Goofy Movie, A (1995)",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Hideaway (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fluke (1995),1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Farinelli: il castrato (1994),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gordy (1995),0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Gumby: The Movie (1995),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Glass Shield, The (1994)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hoop Dreams (1994),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Heavenly Creatures (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Houseguest (1994),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immortal Beloved (1994),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heavyweights (Heavy Weights) (1995),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Hunted, The (1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I.Q. (1994),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interview with the Vampire: The Vampire Chronicles (1994),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson in Paris (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jerky Boys, The (1995)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior (1994),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Just Cause (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Kid in King Arthur's Court, A (1995)",0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Kiss of Death (1995),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Star Wars: Episode IV - A New Hope (1977),0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Little Women (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Little Princess, A (1995)",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ladybird Ladybird (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enfer, L' (1994)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Like Water for Chocolate (Como agua para chocolate) (1992),1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Legends of the Fall (1994),1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Major Payne (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little Odessa (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
My Crazy Life (Mi vida loca) (1993),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Love Affair (1994),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Losing Isaiah (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madness of King George, The (1994)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mary Shelley's Frankenstein (Frankenstein) (1994),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
